Survey ResponseID,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-demos-state,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair,Q-life-changes,Q-sell-YOUR-data,Q-sell-consumer-data,Q-small-biz-use,Q-census-use,Q-research-society
R_2U45wkV0hf1A79G,25 - 34 years,No,"White or Caucasian,Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Male,heterosexual (straight),Oregon,2,4+,5 - 10 times per month,No,No,Yes,No,No,,No,No,No,No,Yes
R_UxpqIzxxhvziAa5,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,LGBTQ+,Colorado,2,2,5 - 10 times per month,No,No,Yes,No,No,"Moved place of residence,Had a child",Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_XCaSsrV88hbJ4yd,18 - 24 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,prefer not to say,New Mexico,1 (just me!),1 (just me!),Less than 5 times per month,Yes,Yes,Yes,No,No,Lost a job ,No,No,No,No,No
R_3HigTq4itishziE,25 - 34 years,Yes,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),California,2,3,More than 10 times per month,No,No,No,No,No,"Lost a job ,Became pregnant,Had a child",Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_1CJSAA89V2pN4FB,18 - 24 years,No,Asian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),Louisiana,1 (just me!),3,Less than 5 times per month,Yes,No,No,No,No,Moved place of residence,I don't know,I don't know,I don't know,I don't know,I don't know
R_PIhjSFbZrFzqmf7,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),Washington,1 (just me!),3,Less than 5 times per month,Yes,No,Yes,No,No,Moved place of residence,No,No,Yes,I don't know,I don't know
R_3MlJxsiMykJn0pX,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Female,LGBTQ+,Florida,1 (just me!),3,Less than 5 times per month,No,No,Yes,Yes,No,,No,No,No,No,Yes
R_UWl7Tnh9WjcOABH,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),Maine,1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,,No,No,No,No,No
R_tY9q5vSaULImPzb,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Male,heterosexual (straight),Virginia,4+,4+,More than 10 times per month,No,No,Yes,No,No,Moved place of residence,Yes,Yes,I don't know,I don't know,Yes
R_0rLOCyUSUep8Gyd,25 - 34 years,No,Black or African American,Bachelor's degree,"Less than $25,000",Female,LGBTQ+,New Jersey,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_27THfLXi9UhJw15,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),Texas,2,2,Less than 5 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes
R_29ntYmnUVN4BYq5,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),Virginia,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_1ovU2FdmDWK1ZHm,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,LGBTQ+,Kentucky,2,2,Less than 5 times per month,No,No,Yes,No,No,,No,No,Yes,Yes,Yes
R_3m33kWDsWBV6QS3,35 - 44 years,No,Black or African American,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Virginia,1 (just me!),3,Less than 5 times per month,No,No,Yes,Yes,Yes,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,No
R_3kpwfKb8JMrf6rl,55 - 64 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),North Carolina,3,2,Less than 5 times per month,No,Yes,Yes,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,I don't know
R_3R3JKxSlee1wkdv,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),Maryland,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,No,No,Yes,No,I don't know
R_2yaoRp2ppYTA5oe,45 - 54 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,heterosexual (straight),Wisconsin,2,2,5 - 10 times per month,No,No,Yes,No,No,Moved place of residence,Yes,Yes,Yes,Yes,Yes
R_xGwDp6qu8JCFdIJ,55 - 64 years,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),Alabama,4+,3,5 - 10 times per month,Yes,No,Yes,Yes,No,Lost a job ,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,I don't know
R_RUm7V3LssbCRwQh,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$150,000 or more",Male,heterosexual (straight),Maine,1 (just me!),2,5 - 10 times per month,No,Yes,Yes,No,No,,No,No,I don't know,No,Yes
R_1msVUYm2myweAcp,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Male,heterosexual (straight),North Carolina,1 (just me!),2,5 - 10 times per month,No,No,No,No,No,,No,Yes if consumers get part of the profit,No,No,I don't know
R_2RUDh7piHU7frzt,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Louisiana,2,4+,More than 10 times per month,No,No,Yes,No,No,Moved place of residence,No,No,I don't know,No,I don't know
R_129jUlsvVcVBDur,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$150,000 or more",Male,heterosexual (straight),Texas,2,4+,5 - 10 times per month,No,No,No,No,No,Lost a job ,No,No,No,No,Yes
R_3ptgKiffuIHUepm,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Pennsylvania,1 (just me!),3,Less than 5 times per month,No,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_2fiYglD2HzQVm0g,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Illinois,2,4+,Less than 5 times per month,No,No,No,No,No,Lost a job ,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_2OOq3ysdOS3TtBd,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Massachusetts,3,1 (just me!),5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_vvng7mF40Igdk0p,45 - 54 years,No,Asian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Texas,1 (just me!),2,More than 10 times per month,I stopped in the recent past,No,I stopped in the recent past,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_3nH1Odp9Yjm86gN,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Alabama,4+,4+,5 - 10 times per month,No,No,Yes,No,No,Had a child,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_2tygtwTlYUSUV1D,35 - 44 years,No,Asian,Bachelor's degree,"$50,000 - $74,999",Male,LGBTQ+,Texas,1 (just me!),4+,Less than 5 times per month,No,No,No,Yes,No,Lost a job ,No,No,Yes,No,Yes
R_2w17CtGEJgADOzx,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Texas,2,2,More than 10 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_2WtXpsDK0Q6SGvv,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,Indiana,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,"Lost a job ,Moved place of residence",No,No,No,No,Yes
R_3L20DbmNPSMtKUd,55 - 64 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),Florida,3,2,More than 10 times per month,No,No,Yes,No,No,"Lost a job ,Moved place of residence",Yes if I get part of the profit,No,No,Yes,Yes
R_1NfxGiJddqHvUUI,35 - 44 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,heterosexual (straight),North Carolina,1 (just me!),1 (just me!),More than 10 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,No
R_OGN3QDO9930tfAl,25 - 34 years,No,Black or African American,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),Texas,1 (just me!),3,5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_3BOSxrIzMJ4BpSh,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,LGBTQ+,Georgia,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,No,I don't know,I don't know,I don't know,Yes
R_vkmM4fQbTCfxgAx,18 - 24 years,No,Black or African American,High school diploma or GED,"$150,000 or more",Female,LGBTQ+,Wisconsin,1 (just me!),4+,Less than 5 times per month,No,Yes,No,No,No,,No,I don't know,I don't know,I don't know,Yes
R_1r6N3kesE63C7Fn,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),North Dakota,1 (just me!),3,Less than 5 times per month,No,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,No
R_29bwiW5mHQ591tv,25 - 34 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,LGBTQ+,Pennsylvania,1 (just me!),1 (just me!),Less than 5 times per month,No,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_2b1XOZR0PYTA1jX,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Female,heterosexual (straight),California,4+,4+,More than 10 times per month,Yes,Yes,Yes,No,No,,No,No,No,No,I don't know
R_2S31p8yhb8bRYXo,45 - 54 years,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,heterosexual (straight),Texas,1 (just me!),4+,Less than 5 times per month,Yes,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_2pJetPJO8BJM07E,25 - 34 years,No,Asian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),New York,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes
R_7ZH1uBNuL9RQ2K5,45 - 54 years,No,Black or African American,Bachelor's degree,"$25,000 - $49,999",Female,LGBTQ+,Texas,1 (just me!),2,5 - 10 times per month,Yes,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_3pne9eBIH77fjaj,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),South Carolina,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,No,No,No,I don't know,I don't know
R_Oa4DgtciNrqxfIB,18 - 24 years,No,"White or Caucasian,Asian",High school diploma or GED,"$150,000 or more",Female,heterosexual (straight),Michigan,4+,4+,5 - 10 times per month,No,No,No,Yes,No,Moved place of residence,No,No,No,No,No
R_3elubI4aFeN2yCZ,25 - 34 years,No,"Black or African American,Asian",Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),New York,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_3hnEZmoJLqoRGs0,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,California,1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_1ig4LC2I0cwMCHk,25 - 34 years,No,"White or Caucasian,Asian",Bachelor's degree,"$75,000 - $99,999",Male,LGBTQ+,Texas,1 (just me!),2,More than 10 times per month,No,No,Yes,No,No,Moved place of residence,No,No,No,No,No
R_3QWPI81N7eJPgeK,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),New York,2,2,Less than 5 times per month,No,No,No,No,No,Became pregnant,No,No,I don't know,No,I don't know
R_cOwWaFVwxP73UXv,25 - 34 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,LGBTQ+,Ohio,1 (just me!),3,Less than 5 times per month,Yes,Yes,Yes,No,No,"Lost a job ,Moved place of residence",No,Yes if consumers get part of the profit,No,I don't know,Yes
R_1jy9KfiKtvt9p6B,18 - 24 years,No,Black or African American,High school diploma or GED,"Less than $25,000",Other,LGBTQ+,Tennessee,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_30v4IsTwlZaxIiR,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,LGBTQ+,Oklahoma,1 (just me!),3,5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_stlZoEq2uXlPW37,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Washington,1 (just me!),4+,Less than 5 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_1QnGxCVpumQBm7E,35 - 44 years,Yes,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),Michigan,2,3,Less than 5 times per month,No,No,No,No,No,Moved place of residence,No,No,I don't know,No,Yes
R_qQvcrZuPmmWzmXn,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Female,heterosexual (straight),Ohio,1 (just me!),1 (just me!),Less than 5 times per month,No,No,I stopped in the recent past,No,No,"Lost a job ,Moved place of residence",Yes if I get part of the profit,No,No,No,No
R_3nGIC9K7FRqL88W,18 - 24 years,No,White or Caucasian,High school diploma or GED,Prefer not to say,Female,heterosexual (straight),Alabama,1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_3KBI2HIkwSKHEOT,55 - 64 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Female,heterosexual (straight),Ohio,1 (just me!),3,5 - 10 times per month,No,No,Yes,Yes,No,Lost a job ,No,No,Yes,I don't know,Yes
R_2YRiGsmsqxtUimr,45 - 54 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),New York,3,4+,Less than 5 times per month,No,No,No,No,No,,No,No,No,No,No
R_1F2tvNSRK2zrouN,25 - 34 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),Florida,2,2,Less than 5 times per month,Yes,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_2ZTFfLAcuwm22Yh,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),Georgia,1 (just me!),3,5 - 10 times per month,No,No,Yes,Yes,No,,No,No,Yes,No,Yes
R_3L7NpSc9nqAFvjF,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),Ohio,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_25ZPSeJQqBglbHD,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Female,LGBTQ+,Ohio,1 (just me!),4+,Less than 5 times per month,No,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_XX2kFbi9VPxFWLf,18 - 24 years,No,Black or African American,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),Alabama,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,I don't know
R_etgq3mVPgoz8CyZ,25 - 34 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),Georgia,1 (just me!),1 (just me!),Less than 5 times per month,Yes,Yes,Yes,No,No,Moved place of residence,No,No,No,No,No
R_265TEOtAdZ1fDzP,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Washington,1 (just me!),2,Less than 5 times per month,No,I stopped in the recent past,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,I don't know
R_3lPsAEuHtXadZAk,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Other,LGBTQ+,New York,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,I don't know,No,I don't know,I don't know,Yes
R_sRSLCxzK04aJvhL,35 - 44 years,No,Black or African American,High school diploma or GED,"$75,000 - $99,999",Male,LGBTQ+,New York,2,4+,5 - 10 times per month,No,No,No,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,I don't know
R_DDculEvWrVVI5aN,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,LGBTQ+,Florida,2,4+,Less than 5 times per month,No,No,No,Yes,No,,Yes,Yes,I don't know,No,Yes
R_1roTOelTygZr5G8,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),Wisconsin,2,2,5 - 10 times per month,No,No,Yes,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_3Jl5q6tZJctgL8B,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Pennsylvania,1 (just me!),1 (just me!),More than 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_1meX9dBVU2swMtm,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,LGBTQ+,Massachusetts,1 (just me!),2,Less than 5 times per month,No,Yes,No,No,No,"Lost a job ,Moved place of residence",Yes if I get part of the profit,I don't know,I don't know,No,Yes
R_24wSwlKgzswC6p1,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,LGBTQ+,California,1 (just me!),2,Less than 5 times per month,I stopped in the recent past,Yes,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_1QF3XP54i5CY4l4,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),California,2,4+,5 - 10 times per month,No,No,Yes,No,No,,No,No,No,No,No
R_9yOmfJyU0rNZGW5,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,LGBTQ+,Louisiana,2,2,More than 10 times per month,No,No,Yes,No,No,,No,No,I don't know,No,I don't know
R_3MA7OanWP50BYeJ,25 - 34 years,No,Asian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),Minnesota,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,Moved place of residence,No,No,Yes,No,Yes
R_25uYOnLDyNaoqsK,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),New York,1 (just me!),4+,Less than 5 times per month,No,No,I stopped in the recent past,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_eKc2gy2WRQmRj7b,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),Arkansas,1 (just me!),2,Less than 5 times per month,No,Prefer not to say,Prefer not to say,No,No,Moved place of residence,No,No,Yes,Yes,No
R_1oHiQI5hcXpntpV,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,LGBTQ+,Florida,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,Moved place of residence,No,No,I don't know,Yes,Yes
R_30v53X5idQpo8kP,18 - 24 years,Yes,American Indian/Native American or Alaska Native,High school diploma or GED,"$25,000 - $49,999",Male,LGBTQ+,California,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,Lost a job ,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_3qCqvLjperlj7Ab,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Kentucky,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,No,No,I don't know,No,I don't know
R_ebblotCCh8G6Ddf,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Male,heterosexual (straight),California,2,4+,Less than 5 times per month,No,No,No,No,No,,No,I don't know,I don't know,No,Yes
R_2EBrYkcmnTSuO46,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,LGBTQ+,Tennessee,1 (just me!),3,Less than 5 times per month,Yes,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_1gqiVdGSNtyWfir,18 - 24 years,Yes,Other,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),California,1 (just me!),1 (just me!),More than 10 times per month,Yes,Yes,Yes,No,No,Lost a job ,No,No,Yes,No,No
R_2ClZTreQFwcrcpb,25 - 34 years,No,"White or Caucasian,American Indian/Native American or Alaska Native",High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,Washington,4+,4+,5 - 10 times per month,Yes,No,No,Yes,Yes,"Lost a job ,Moved place of residence,Became pregnant",No,No,Yes,I don't know,Yes
R_3QQSKbtqf6jNcek,25 - 34 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,heterosexual (straight),Illinois,1 (just me!),2,Less than 5 times per month,Yes,Yes,No,No,No,,No,No,No,No,Yes
R_d9Uxvmk8nrY8YYF,25 - 34 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),Oregon,2,4+,Less than 5 times per month,Yes,Yes,Yes,No,No,"Lost a job ,Became pregnant",No,I don't know,I don't know,I don't know,Yes
R_25z5LHPaAsxktx7,25 - 34 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,LGBTQ+,Kentucky,1 (just me!),3,5 - 10 times per month,No,No,No,No,No,Moved place of residence,No,No,No,No,Yes
R_32JTTc2KQDDEb85,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Pennsylvania,1 (just me!),1 (just me!),Less than 5 times per month,I stopped in the recent past,I stopped in the recent past,I stopped in the recent past,No,No,Moved place of residence,No,No,No,No,No
R_1QlNhkrA0pIwVAs,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,heterosexual (straight),Wisconsin,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_2xLvxRKX2448l9k,45 - 54 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","Less than $25,000",Male,LGBTQ+,Arkansas,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,Yes,No,,No,Yes if consumers get part of the profit,I don't know,Yes,Yes
R_1ePFtJLT63QEZUA,35 - 44 years,Yes,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),Louisiana,3,4+,5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_1LRR1P5IQqdSvIP,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),North Carolina,2,3,5 - 10 times per month,No,No,Yes,Yes,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,I don't know
R_2tmwHXgKbA2OqSS,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,LGBTQ+,Pennsylvania,1 (just me!),1 (just me!),5 - 10 times per month,No,Yes,Yes,No,No,,No,No,No,No,No
R_6xIfoIXCDVAT19D,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,LGBTQ+,Oregon,2,3,Less than 5 times per month,No,Yes,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes
R_123DkZcbvVjnbzX,25 - 34 years,Yes,Other,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),New Jersey,1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_3lQCvBUTlCoreQq,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,Michigan,1 (just me!),3,5 - 10 times per month,Yes,Yes,No,No,No,Lost a job ,No,No,No,I don't know,I don't know
R_2y8edrQ8p3nRu8v,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Female,heterosexual (straight),Kansas,1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,Yes
R_3rPawL6bty6Oecy,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Female,heterosexual (straight),Florida,2,4+,5 - 10 times per month,No,No,Yes,No,No,Became pregnant,No,No,No,No,I don't know
R_2w5eKwkAHxducy1,65 and older,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),New York,2,3,Less than 5 times per month,Yes,No,No,Yes,No,,No,No,No,No,Yes
R_2wzatCV9Z18xLF2,65 and older,Yes,White or Caucasian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),Georgia,1 (just me!),4+,5 - 10 times per month,Yes,No,No,No,Yes,,No,No,No,No,No
R_3iDSOpUxmGrAf4T,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Pennsylvania,1 (just me!),3,Less than 5 times per month,No,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
